HostGroup,VirusGenotype,DVGness,DVG_segment
Waterfowl (Anseriformes),D1.1,0.0583,DVGs_max
Waterfowl (Anseriformes),D1.1,0.4904,DVGs_max
Waterfowl (Anseriformes),D1.1,0.0023,DVGs_max
Waterfowl (Anseriformes),D1.1,0.6643000000000001,DVGs_max
Waterfowl (Anseriformes),D1.1,0.6414,DVGs_max
Waterfowl (Anseriformes),D1.1,0.3492,DVGs_max
Waterfowl (Anseriformes),D1.1,0.0209,DVGs_max
Waterfowl (Anseriformes),D1.1,0.8358,DVGs_max
Waterfowl (Anseriformes),D1.1,0.191,DVGs_max
Waterfowl (Anseriformes),D1.1,0.1096,DVGs_max
Waterfowl (Anseriformes),D1.1,0.9619,DVGs_max
Waterfowl (Anseriformes),D1.1,0.6369,DVGs_max
Waterfowl (Anseriformes),D1.1,0.1771,DVGs_max
Waterfowl (Anseriformes),D1.1,0.4257,DVGs_max
Waterfowl (Anseriformes),D1.1,0.8736,DVGs_max
Waterfowl (Anseriformes),D1.1,0.5966,DVGs_max
Waterfowl (Anseriformes),D1.1,0.9649,DVGs_max
Waterfowl (Anseriformes),D1.1,0.5562,DVGs_max
Waterfowl (Anseriformes),D1.1,0.36920000000000003,DVGs_max
Waterfowl (Anseriformes),D1.1,0.7804000000000001,DVGs_max
Waterfowl (Anseriformes),D1.1,0.08689999999999999,DVGs_max
Waterfowl (Anseriformes),D1.1,0.9501000000000001,DVGs_max
Waterfowl (Anseriformes),D1.1,0.24969999999999998,DVGs_max
